epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.8166789494308775,6.5913425,1.59,5.202
1,5.778772943160114,3.83726625,22.684,46.472
2,4.850421903180141,2.831165,39.158,66.344
3,4.420330933496063,2.383625,47.22,73.6
4,4.169603464650173,2.14612875,52.408,77.62
5,3.9797330253264485,2.02253625,55.632,80.32
6,3.8417494413899442,1.835331875,58.948,82.498
7,3.7861205853667914,1.995694375,59.446,82.862
8,3.711071678236419,1.791865,61.97,84.63
9,3.601610354348725,1.732515625,62.502,84.616
10,3.61482647821015,1.59012625,64.034,86.106
11,3.550619920094808,1.66742375,64.878,86.602
12,3.424920278436997,1.6017,65.534,86.978
13,3.3982198401993395,1.569580625,66.238,87.094
14,3.42571863006143,1.507535,66.774,87.718
15,3.3894505360547234,1.532764375,66.836,87.694
16,3.351736676459219,1.5410225,67.718,88.262
17,3.3866927506876925,1.4094075,68.292,88.64
18,3.344162852156396,1.61049,67.544,88.19
19,3.304505051351061,1.59864,68.236,88.588
20,3.334995134204042,1.39383625,69.074,88.984
21,3.252851042093015,1.3599,69.22,89.154
22,3.1793962787179386,1.376551875,68.874,89.06
23,3.3335223688798794,1.368650625,69.27,89.248
24,3.2561021295248294,1.32435125,69.458,89.416
25,3.188401219891567,1.36963625,69.758,89.33
26,3.2919659380819284,1.37958875,70.124,89.676
27,3.269686605416092,1.335616875,70.0,89.552
28,3.198852122998705,1.3451925,70.162,89.646
29,3.1640036924212587,1.465965,70.138,89.66
30,3.2284606554928947,1.39428125,70.536,89.784
31,3.1464663977716483,1.689916875,69.606,89.412
32,3.123882310063231,1.51451875,70.492,89.954
33,3.1526452676922667,1.30977,70.592,90.1
34,3.164902871730281,1.439695,70.234,89.712
35,3.2096297179951385,1.334371875,70.972,90.22
36,3.178619347366632,1.35798875,71.058,90.408
37,3.2361041097080006,1.776819375,69.538,89.178
38,3.1700435923595056,1.630376875,70.15,89.732
39,3.1264901979296815,1.25642375,71.186,90.436
40,3.0201700388216506,1.2521071875,74.502,92.002
41,2.9665537020739388,1.1390296875,74.966,92.326
42,2.9079029373094145,1.171481875,75.052,92.36
43,2.8819872421376846,1.1107,75.282,92.52
44,2.9623409135668886,1.243725625,75.362,92.396
45,2.9190297500759947,1.1864165625,75.448,92.556
46,2.8413627358043896,1.139566875,75.584,92.75
47,2.877199747983147,1.1665875,75.698,92.728
48,2.8451192986731435,1.1190990625,75.926,92.81
49,2.8813067838257433,1.137911875,75.926,92.782
50,2.915250965193206,1.26768,75.608,92.652
51,2.7900446840361055,1.163564375,75.664,92.724
52,2.8261482411739873,1.060351875,76.058,92.914
53,2.8277523961721682,1.18359625,76.012,92.844
54,2.824306932150149,1.3116109375,75.55,92.556
55,2.8427519821653178,1.0599653125,76.072,92.928
56,2.8461953471688664,1.1785496875,75.964,92.856
57,2.8095942688923254,1.37194625,75.682,92.588
58,2.7898335456848145,1.207595625,76.002,92.884
59,2.785383046842089,1.206089375,76.004,92.87
60,2.8127750953038535,1.1798275,76.186,92.962
61,2.7414369629878625,1.130286875,76.134,92.916
62,2.852515741890552,1.3348409375,75.636,92.596
63,2.792917812571806,1.127775,76.258,92.954
64,2.8222045851688757,1.096573125,76.242,92.942
65,2.8089772836834777,1.2816075,76.066,92.868
66,2.743222853716682,1.086095,76.414,93.078
67,2.8086284445781335,1.0887121875,76.334,93.014
68,2.78711693427142,1.11428625,76.078,93.078
69,2.769290690328561,1.04031,76.478,93.048
70,2.7396579863978365,1.130635,76.37,93.114
71,2.700161959610733,1.136246875,76.304,93.052
72,2.8932143403034583,1.16732125,76.24,93.042
73,2.776603997922411,1.0821271875,76.68,93.03
74,2.757281177184161,1.19708375,76.468,92.982
75,2.8021510138231167,1.0527140625,76.702,93.068
76,2.7093274920594457,1.1716578125,76.284,93.086
77,2.7505649374980554,1.0820884375,76.508,93.042
78,2.7939685232499065,1.0613740625,76.56,93.258
79,2.680650573150784,1.080255625,76.64,93.064
80,2.684144751698363,1.134,77.136,93.27
81,2.6778209606806436,1.20026,77.026,93.282
82,2.7028730441542232,1.0485978125,77.36,93.416
83,2.6625097195307412,1.1319659375,77.304,93.34
84,2.5947098077512254,1.0158528125,77.516,93.454
85,2.756974547517066,1.0405346875,77.478,93.426
86,2.6428496346754184,1.0444959375,77.508,93.454
87,2.6404561879588107,1.1095959375,77.412,93.484
88,2.6801559995202457,1.148278125,77.318,93.452
89,2.60236707388186,1.09057125,77.544,93.516
90,2.731749112699546,1.113545,77.384,93.456
91,2.612175417881386,1.0208675,77.586,93.542
92,2.6470101651023414,1.0099184375,77.604,93.584
93,2.6250487168629966,1.08017875,77.394,93.5
94,2.6474696806832854,0.99447625,77.644,93.61
95,2.6879213125097987,1.229298125,77.142,93.432
96,2.6302996686860625,1.0324384375,77.588,93.578
97,2.7466916780845794,1.028269375,77.624,93.59
98,2.7492220845876956,1.114045,77.432,93.492
99,2.631390862605151,1.02788,77.618,93.562
100,2.6693359800413545,1.0661565625,77.498,93.514
101,2.6278061492770326,1.0432653125,77.606,93.582
102,2.695756603689755,1.03539875,77.586,93.614
103,2.6837972601254783,1.041296875,77.682,93.624
104,2.645891652387731,1.024835625,77.68,93.576
105,2.6414233189003142,1.068935,77.56,93.592
106,2.727382048672321,1.14250125,77.512,93.456
107,2.675321616378485,1.198746875,77.306,93.468
108,2.6340782209938647,1.0713790625,77.704,93.532
109,2.680679268696729,1.037290625,77.668,93.558
110,2.588915873976315,1.0910065625,77.614,93.602
